DATE,CSUSHPISA
2003-12-01,140.18
2004-01-01,141.64700000000002
2004-02-01,143.19299999999998
2004-03-01,145.059
2004-04-01,146.591
2004-05-01,148.184
2004-06-01,149.849
2004-07-01,151.33700000000002
2004-08-01,152.63299999999998
2004-09-01,154.178
2004-10-01,155.751
2004-11-01,157.528
2004-12-01,159.33
2005-01-01,161.289
2005-02-01,163.344
2005-03-01,165.813
2005-04-01,167.502
2005-05-01,169.352
2005-06-01,171.19
2005-07-01,172.86
2005-08-01,174.442
2005-09-01,176.438
2005-10-01,178.028
2005-11-01,179.68200000000002
2005-12-01,180.91
2006-01-01,182.321
2006-02-01,183.28799999999998
2006-03-01,184.365
2006-04-01,184.329
2006-05-01,184.157
2006-06-01,183.50799999999998
2006-07-01,183.06799999999998
2006-08-01,182.595
2006-09-01,182.8
2006-10-01,183.201
2006-11-01,183.611
2006-12-01,184.141
2007-01-01,184.518
2007-02-01,184.59900000000002
2007-03-01,184.15
2007-04-01,183.011
2007-05-01,181.602
2007-06-01,180.25599999999997
2007-07-01,179.113
2007-08-01,178.12
2007-09-01,177.56099999999998
2007-10-01,176.625
2007-11-01,175.148
2007-12-01,174.343
2008-01-01,173.13400000000001
2008-02-01,171.543
2008-03-01,170.05599999999998
2008-04-01,168.33900000000003
2008-05-01,166.66099999999997
2008-06-01,165.02
2008-07-01,163.571
2008-08-01,161.99200000000002
2008-09-01,160.313
2008-10-01,158.33100000000002
2008-11-01,156.144
2008-12-01,153.618
2009-01-01,151.505
2009-02-01,150.012
2009-03-01,148.658
2009-04-01,147.94899999999998
2009-05-01,147.694
2009-06-01,148.09
2009-07-01,148.41
2009-08-01,148.276
2009-09-01,148.023
2009-10-01,147.849
2009-11-01,148.134
2009-12-01,147.93
2010-01-01,147.394
2010-02-01,145.631
2010-03-01,145.857
2010-04-01,146.399
2010-05-01,146.39
2010-06-01,145.716
2010-07-01,144.988
2010-08-01,143.912
2010-09-01,143.016
2010-10-01,142.528
2010-11-01,142.172
2010-12-01,142.063
2011-01-01,141.528
2011-02-01,140.357
2011-03-01,139.987
2011-04-01,140.012
2011-05-01,139.905
2011-06-01,139.862
2011-07-01,139.731
2011-08-01,139.309
2011-09-01,138.668
2011-10-01,137.951
2011-11-01,137.151
2011-12-01,136.673
2012-01-01,136.606
2012-02-01,136.532
2012-03-01,137.908
2012-04-01,139.159
2012-05-01,140.159
2012-06-01,141.032
2012-07-01,141.66899999999998
2012-08-01,142.279
2012-09-01,142.908
2012-10-01,143.60299999999998
2012-11-01,144.588
2012-12-01,145.504
2013-01-01,146.835
2013-02-01,147.78
2013-03-01,149.96200000000002
2013-04-01,151.52200000000002
2013-05-01,152.858
2013-06-01,154.205
2013-07-01,155.613
2013-08-01,156.977
2013-09-01,158.235
2013-10-01,159.247
2013-11-01,160.076
2013-12-01,160.997
2014-01-01,161.946
2014-02-01,162.53
2014-03-01,163.094
2014-04-01,163.404
2014-05-01,163.67
2014-06-01,164.06599999999997
2014-07-01,164.582
2014-08-01,165.22099999999998
2014-09-01,165.912
2014-10-01,166.648
2014-11-01,167.34
2014-12-01,168.05900000000003
2015-01-01,168.666
2015-02-01,169.146
2015-03-01,169.821
2015-04-01,170.31799999999998
2015-05-01,170.898
2015-06-01,171.481
2015-07-01,172.14700000000002
2015-08-01,172.953
2015-09-01,173.847
2015-10-01,174.808
2015-11-01,175.753
2015-12-01,176.55700000000002
2016-01-01,177.298
2016-02-01,177.66299999999998
2016-03-01,178.192
2016-04-01,178.804
2016-05-01,179.47099999999998
2016-06-01,180.13099999999997
2016-07-01,180.873
2016-08-01,181.891
2016-09-01,182.85299999999998
2016-10-01,183.76
2016-11-01,184.745
2016-12-01,185.695
2017-01-01,186.794
2017-02-01,187.30900000000003
2017-03-01,188.03799999999998
2017-04-01,188.812
2017-05-01,189.718
2017-06-01,190.618
2017-07-01,191.53599999999997
2017-08-01,192.78
2017-09-01,193.817
2017-10-01,194.783
2017-11-01,195.86700000000002
2017-12-01,197.048
2018-01-01,198.2
2018-02-01,199.165
2018-03-01,200.045
2018-04-01,200.865
2018-05-01,201.669
2018-06-01,202.47099999999998
2018-07-01,203.071
2018-08-01,203.894
2018-09-01,204.40099999999998
2018-10-01,204.99599999999998
2018-11-01,205.43
2018-12-01,205.83599999999998
2019-01-01,206.252
2019-02-01,206.699
2019-03-01,207.232
2019-04-01,207.921
2019-05-01,208.604
2019-06-01,209.09
2019-07-01,209.58599999999998
2019-08-01,210.423
2019-09-01,210.96900000000002
2019-10-01,211.565
2019-11-01,212.4
2019-12-01,213.38
2020-01-01,214.46
2020-02-01,215.54
2020-03-01,216.662
2020-04-01,217.483
2020-05-01,217.769
2020-06-01,218.333
2020-07-01,219.847
2020-08-01,222.826
2020-09-01,225.87400000000002
2020-10-01,229.36
2020-11-01,232.606
2020-12-01,235.606
2021-01-01,238.628
2021-02-01,241.72099999999998
2021-03-01,245.76
2021-04-01,250.02900000000002
2021-05-01,254.576
2021-06-01,259.20799999999997
2021-07-01,263.32
2021-08-01,267.08299999999997
